,href,jobs_title,min_price,max_price,currency,company_name,company_url,city
179,https://hh.ru/vacancy/46476637?from=vacancy_search_list&query=python,C++ Toolset Developer [возможен Remote],,,,AWEM,https://hh.ru/employer/859391,Минск
180,https://hh.ru/vacancy/46506717?from=vacancy_search_list&query=python,Middle/Senior Front-end Engineer,,,,ООО Проект Дилбай,https://hh.ru/employer/2052321,Минск
181,https://hh.ru/vacancy/45927890?from=vacancy_search_list&query=python,Business Analyst,,,,ООО Сампад,https://hh.ru/employer/1535743,Минск
182,https://hh.ru/vacancy/46753777?from=vacancy_search_list&query=python,Middle Front Engineer (JavaScript),,,,ООО Неро Электроникс,https://hh.ru/employer/227572,Минск
183,https://hh.ru/vacancy/47056990?from=vacancy_search_list&query=python,Principle Engineer [Remote],,,,Cloud Linux,https://hh.ru/employer/1245452,Минск
184,https://hh.ru/vacancy/47037237?from=vacancy_search_list&query=python,Lead QA Automation,,,,Playrix,https://hh.ru/employer/114448,Минск
185,https://hh.ru/vacancy/47041812?from=vacancy_search_list&query=python,Software Engineer - SRE,,,,ZiMAD,https://hh.ru/employer/780623,Минск
186,https://hh.ru/vacancy/47041782?from=vacancy_search_list&query=python,Software Engineer (Senior),,,,ZiMAD,https://hh.ru/employer/780623,Минск
187,https://hh.ru/vacancy/46938645?from=vacancy_search_list&query=python,Middle Django Developer | Admin team,,,,RocketData,https://hh.ru/employer/3591220,Минск
188,https://hh.ru/vacancy/47001207?from=vacancy_search_list&query=python,Programming teacher (Roblox),40000.0,50000.0,руб.,IT школа Hello world,https://hh.ru/employer/3407499,Минск
189,https://hh.ru/vacancy/46988788?from=vacancy_search_list&query=python,Node.js разработчик,,,,Лайт Вел Организейшн,https://hh.ru/employer/766172,"Минск, Площадь Победы"
190,https://hh.ru/vacancy/46971570?from=vacancy_search_list&query=python,WEB analytic,,,,ООО Бургер БК,https://hh.ru/employer/1787410,"Минск, Михалово"
191,https://hh.ru/vacancy/46714964?from=vacancy_search_list&query=python,Frontend Developer,,,,ООО Сампад,https://hh.ru/employer/1535743,Минск
192,https://hh.ru/vacancy/46673159?from=vacancy_search_list&query=python,Ruby on Rails developer,,,,Syberry CIS,https://hh.ru/employer/1196575,"Минск, Институт Культуры"
193,https://hh.ru/vacancy/46968141?from=vacancy_search_list&query=python,Android Developer,,,,ООО Сампад,https://hh.ru/employer/1535743,Минск
194,https://hh.ru/vacancy/43121937?from=vacancy_search_list&query=python,Embedded Developer,,,,ООО ЛАЦИТ - Лаборатория цифровых технологий,https://hh.ru/employer/3299238,"Минск, Площадь Франтишка Богушевича"
195,https://hh.ru/vacancy/46766409?from=vacancy_search_list&query=python,Graphics Programmer,2500.0,,USD,General Arcade,https://hh.ru/employer/4730160,Минск
196,https://hh.ru/vacancy/46386588?from=vacancy_search_list&query=python,"Senior Software Engineer (Platform, Commerce)",,,,"Wargaming, Minsk (Game Stream)",https://hh.ru/employer/662769?dpt=662769-662769-minsk,Минск
197,https://hh.ru/vacancy/46833031?from=vacancy_search_list&query=python,Таргетолог,600.0,,USD,ООО Айтигенио,https://hh.ru/employer/3060194,Минск
198,https://hh.ru/vacancy/47041794?from=vacancy_search_list&query=python,Senior Software Engineer,,,,ZiMAD,https://hh.ru/employer/780623,Минск
199,https://hh.ru/vacancy/41925006?from=vacancy_search_list&query=python,SRE engineer,,,,Tango Me,https://hh.ru/employer/3266823,Минск
200,https://hh.ru/vacancy/46099033?from=vacancy_search_list&query=python,Senior QA Engineer,,,,ООО Инспекторио Бел,https://hh.ru/employer/4270886,"Минск, Немига"
201,https://hh.ru/vacancy/47056990?from=vacancy_search_list&query=python,Principle Engineer [Remote],,,,Cloud Linux,https://hh.ru/employer/1245452,Минск
202,https://hh.ru/vacancy/47057450?from=vacancy_search_list&query=python,QA Engineer/Тестировщик,,,,Пари-Матч,https://hh.ru/employer/841116,"Минск, Борисовский тракт"
203,https://hh.ru/vacancy/45924830?from=vacancy_search_list&query=python,Senior Support Engineer - CloudLinux Specialized Team [Remote],,,,Cloud Linux,https://hh.ru/employer/1245452,Минск
204,https://hh.ru/vacancy/47041794?from=vacancy_search_list&query=python,Senior Software Engineer,,,,ZiMAD,https://hh.ru/employer/780623,Минск
205,https://hh.ru/vacancy/47050267?from=vacancy_search_list&query=python,Senior System engineer,,,,21vek.by,https://hh.ru/employer/763400,Минск
206,https://hh.ru/vacancy/47047532?from=vacancy_search_list&query=python,DBA / Администратор баз данных (PostgreSQL),3000.0,4000.0,бел. руб.,ООО МАКСБИТСОЛЮШЕН,https://hh.ru/employer/4525306,"Минск, Академия наук и еще 1 "
207,https://hh.ru/vacancy/46673159?from=vacancy_search_list&query=python,Ruby on Rails developer,,,,Syberry CIS,https://hh.ru/employer/1196575,"Минск, Институт Культуры"
208,https://hh.ru/vacancy/46506717?from=vacancy_search_list&query=python,Middle/Senior Front-end Engineer,,,,ООО Проект Дилбай,https://hh.ru/employer/2052321,Минск
209,https://hh.ru/vacancy/44405045?from=vacancy_search_list&query=python,Embedded developer,,,,SaM Solutions Самсолюшнс,https://hh.ru/employer/745670,"Минск, Московская"
210,https://hh.ru/vacancy/46386588?from=vacancy_search_list&query=python,"Senior Software Engineer (Platform, Commerce)",,,,"Wargaming, Minsk (Game Stream)",https://hh.ru/employer/662769?dpt=662769-662769-minsk,Минск
211,https://hh.ru/vacancy/46986834?from=vacancy_search_list&query=python,"Преподаватель IT дисциплин в Международную школу программирования ""Алгоритмика""",1500.0,3000.0,бел. руб.,Алгоритмика Б,https://hh.ru/employer/5577009,"Минск, Фрунзенская"
212,https://hh.ru/vacancy/46952973?from=vacancy_search_list&query=python,Business Analyst - Disaster Risk Analytics Software,1500.0,3000.0,USD,ООО Контурные карты,https://hh.ru/employer/5134667,Минск
213,https://hh.ru/vacancy/44253869?from=vacancy_search_list&query=python,QA Performance Engineer,,,,"Wargaming, Minsk (Game Stream)",https://hh.ru/employer/662769?dpt=662769-662769-minsk,Минск
214,https://hh.ru/vacancy/45537546?from=vacancy_search_list&query=python,QA Engineer,,,,ООО Инспекторио Бел,https://hh.ru/employer/4270886,Минск
215,https://hh.ru/vacancy/46753777?from=vacancy_search_list&query=python,Middle Front Engineer (JavaScript),,,,ООО Неро Электроникс,https://hh.ru/employer/227572,Минск
216,https://hh.ru/vacancy/47037237?from=vacancy_search_list&query=python,Lead QA Automation,,,,Playrix,https://hh.ru/employer/114448,Минск
217,https://hh.ru/vacancy/46971570?from=vacancy_search_list&query=python,WEB analytic,,,,ООО Бургер БК,https://hh.ru/employer/1787410,"Минск, Михалово"
218,https://hh.ru/vacancy/45151611?from=vacancy_search_list&query=python,Junior Frontend Developer,,,,ООО Сампад,https://hh.ru/employer/1535743,Минск
219,https://hh.ru/vacancy/47001207?from=vacancy_search_list&query=python,Programming teacher (Roblox),40000.0,50000.0,руб.,IT школа Hello world,https://hh.ru/employer/3407499,Минск
220,https://hh.ru/vacancy/46934745?from=vacancy_search_list&query=python,C Developer (L1),,,,ООО Смарт АйТи,https://hh.ru/employer/2102314,"Минск, Молодежная и еще 1 "
221,https://hh.ru/vacancy/46948805?from=vacancy_search_list&query=python,Front-End Developer,,,,ООО Вайзор Геймз,https://hh.ru/employer/958733,Минск
222,https://hh.ru/vacancy/46933384?from=vacancy_search_list&query=python,C Developer (L2),,,,ООО Смарт АйТи,https://hh.ru/employer/2102314,"Минск, Молодежная и еще 1 "
223,https://hh.ru/vacancy/46947833?from=vacancy_search_list&query=python,Специалист департамента рисков,,,,ОАО БЕЛИНВЕСТБАНК,https://hh.ru/employer/796408,Минск
224,https://hh.ru/vacancy/45116529?from=vacancy_search_list&query=python,Lead Designer,,,,ООО Сампад,https://hh.ru/employer/1535743,Минск
225,https://hh.ru/vacancy/46517133?from=vacancy_search_list&query=python,Project Manager,,,,ООО Сампад,https://hh.ru/employer/1535743,Минск
226,https://hh.ru/vacancy/47012697?from=vacancy_search_list&query=python,Partnership manager,,,,Skyeng,https://hh.ru/employer/1122462,Минск
227,https://hh.ru/vacancy/46955936?from=vacancy_search_list&query=python,Директор по развитию IT/руководитель бизнес-аналитического подразделения,,,,КВАДРАТ,https://hh.ru/employer/85188,Минск
228,https://hh.ru/vacancy/47012651?from=vacancy_search_list&query=python,Менеджер партнерского маркетинга,,,,Skyeng,https://hh.ru/employer/1122462,Минск
229,https://hh.ru/vacancy/34804827?from=vacancy_search_list&query=python,Game Engine Developer,,,,ООО Вайзор Геймз,https://hh.ru/employer/958733,Минск
230,https://hh.ru/vacancy/47012608?from=vacancy_search_list&query=python,Менеджер партнерских спецпроектов,,,,Skyeng,https://hh.ru/employer/1122462,Минск
231,https://hh.ru/vacancy/47037336?from=vacancy_search_list&query=python,Project Manager,,,,Abiatec,https://hh.ru/employer/854019,Минск
232,https://hh.ru/vacancy/46973410?from=vacancy_search_list&query=python,Менеджер отдела заботы входящих коммуникаций,300.0,450.0,USD,Skyeng,https://hh.ru/employer/1122462,Минск
233,https://hh.ru/vacancy/46913237?from=vacancy_search_list&query=python,Lead / Senior Python Developer,4500.0,,USD,RocketData,https://hh.ru/employer/3591220,"Минск, Восток и еще 1 "
234,https://hh.ru/vacancy/42380451?from=vacancy_search_list&query=python,Middle/Senior QA Automation Engineer (Python),,,,Belitsoft,https://hh.ru/employer/754682,Минск
235,https://hh.ru/vacancy/46913019?from=vacancy_search_list&query=python,Специалист технической поддержки партнеров/Junior Web,500.0,2000.0,USD,CpaGen,https://hh.ru/employer/4958848,Минск
236,https://hh.ru/vacancy/46914920?from=vacancy_search_list&query=python,Senior Performance Test Engineer,,,,Altoros Bel,https://hh.ru/employer/570938,"Минск, Кунцевщина"
237,https://hh.ru/vacancy/44572331?from=vacancy_search_list&query=python,Junior DevOps Engineer (Trainee/Students Lab),,,,iTechArt Group,https://hh.ru/employer/666194,Минск
238,https://hh.ru/vacancy/46884387?from=vacancy_search_list&query=python,BI-аналитик / бизнес-аналитик,,,,21vek.by,https://hh.ru/employer/763400,Минск
239,https://hh.ru/vacancy/45214878?from=vacancy_search_list&query=python,Ops Engineer,,,,21vek.by,https://hh.ru/employer/763400,Минск
240,https://hh.ru/vacancy/43357000?from=vacancy_search_list&query=python,C++ Client Developer,,,,ООО Melsoft Games,https://hh.ru/employer/959036,Минск
241,https://hh.ru/vacancy/38984389?from=vacancy_search_list&query=python,Технический художник / Tech Artist,,,,ООО Игро Тэк,https://hh.ru/employer/3190372,"Минск, Кунцевщина"
242,https://hh.ru/vacancy/46247471?from=vacancy_search_list&query=python,Software Engineering Manager,,,,iTechArt Group,https://hh.ru/employer/666194,Минск
243,https://hh.ru/vacancy/46126293?from=vacancy_search_list&query=python,Python Backend Developer / WEB - разработчик,2400.0,,USD,ООО Перфект Системс,https://hh.ru/employer/1713030,Минск
